# l[4]( l_4(t) ) connection: point2-point5
n t l_4(t)
816 2.040000 1.000003578809
817 2.042500 1.000003366125
818 2.045000 1.000003132670
819 2.047500 1.000002881240
820 2.050000 1.000002614747
821 2.052500 1.000002336209
822 2.055000 1.000002048675
823 2.057500 1.000001755163
824 2.060000 1.000001458646
825 2.062500 1.000001162042
826 2.065000 1.000000868181
827 2.067500 1.000000579749
828 2.070000 1.000000299239
829 2.072500 1.000000028904
830 2.075000 0.999999770735
831 2.077500 0.999999526429
832 2.080000 0.999999297384
833 2.082500 0.999999084686
834 2.085000 0.999998889090
835 2.087500 0.999998711012
836 2.090000 0.999998550559
837 2.092500 0.999998407514
838 2.095000 0.999998281321
839 2.097500 0.999998171091
840 2.100000 0.999998075666
841 2.102500 0.999997993641
842 2.105000 0.999997923378
843 2.107500 0.999997863057
844 2.110000 0.999997810742
845 2.112500 0.999997764465
846 2.115000 0.999997722269
847 2.117500 0.999997682227
848 2.120000 0.999997642477
849 2.122500 0.999997601267
850 2.125000 0.999997556993
851 2.127500 0.999997508254
852 2.130000 0.999997453908
853 2.132500 0.999997393106
854 2.135000 0.999997325317
855 2.137500 0.999997250334
856 2.140000 0.999997168302
857 2.142500 0.999997079735
858 2.145000 0.999996985494
859 2.147500 0.999996886764
860 2.150000 0.999996785051
861 2.152500 0.999996682193
862 2.155000 0.999996580325
863 2.157500 0.999996481851
864 2.160000 0.999996389394
865 2.162500 0.999996305742
866 2.165000 0.999996233814
867 2.167500 0.999996176618
868 2.170000 0.999996137204
869 2.172500 0.999996118614
870 2.175000 0.999996123808
871 2.177500 0.999996155611
872 2.180000 0.999996216669
873 2.182500 0.999996309398
874 2.185000 0.999996435939
875 2.187500 0.999996598101
876 2.190000 0.999996797326
877 2.192500 0.999997034631
878 2.195000 0.999997310559
879 2.197500 0.999997625173
880 2.200000 0.999997978031
881 2.202500 0.999998368149
882 2.205000 0.999998794013
883 2.207500 0.999999253583
884 2.210000 0.999999744301
885 2.212500 1.000000263099
886 2.215000 1.000000806401
887 2.217500 1.000001370137
888 2.220000 1.000001949804
889 2.222500 1.000002540523
890 2.225000 1.000003137089
891 2.227500 1.000003734048
892 2.230000 1.000004325768
893 2.232500 1.000004906500
894 2.235000 1.000005470419
895 2.237500 1.000006011659
896 2.240000 1.000006524386
897 2.242500 1.000007002874
898 2.245000 1.000007441584
899 2.247500 1.000007835268
900 2.250000 1.000008179034
901 2.252500 1.000008468377
902 2.255000 1.000008699222
903 2.257500 1.000008868012
904 2.260000 1.000008971767
905 2.262500 1.000009008116
906 2.265000 1.000008975307
907 2.267500 1.000008872255
908 2.270000 1.000008698609
909 2.272500 1.000008454771
910 2.275000 1.000008141868
911 2.277500 1.000007761724
